[00:00:00 - 00:01:00] | О. Гадиш | Особенно муж, да?
[00:01:00 - 00:02:00] | Т. Канделаки | Но я разведена, в том-то и проблема. Мы очень чувствительны к своей свободе, но большинство из нас даже не замечают, что давно ее потеряли, — или нет? Это на самом деле так, или это просто паранойя сегодняшнего времени? У нас сегодня здесь очень интересная группа экспертов. К сожалению, Джулиан Ассанж не смог прибыть. Очень жаль, поскольку ему есть что сказать, я уверена. Зато сегодня присутствуют: Элизабет Бьюз, президент Visa’sGroup по Азии, Центральной Европе, Среднему Востоку и Африке; Андрей Дубовсков, президент ОАО «МТС»; Орит Гадиш, председатель совета директоров, Bain & Co; Питер Грауэр, председатель правления Bloomberg LP; Наталья Касперская, председатель совета директоров ЗАО «Лаборатория Касперского» и генеральный директор InfoWatch; и Игорь Щеголев, министр связи и массовых коммуникаций России. Мой первый вопрос — к Ориту Гадишу. Мы согласны с тем, что технологии и Интернет перевернули нашу жизнь, но, может быть, вместе с тем мы что- то потеряли. Не думаете ли Вы, что частное пространство — это та цена, которую нам приходится платить? Не уходит ли оно в прошлое?
[00:02:00 - 00:03:00] | О. Гадиш | Спасибо. Я окружен людьми, которые используют действительно современные технологии. Я же пользуюсь старомодными вещами, так что извините.
[00:03:00 - 00:04:00] | И. Щеголев | Так безопаснее.
[00:04:00 - 00:05:00] | О. Гадиш | Вот именно. И это прямо подводит нас к вопросу о частном пространстве. Вас могут взломать. А меня нельзя взломать. Вы спросили, уходит ли частное пространство в прошлое. Я бы сказал, пока нет. Есть ли серьезный повод для беспокойства? Да. Насколько это важно? Вам судить. Говорят, что со времен появления демократий был нужен четкий баланс между свободой отдельного человека и властью большинства. Это привело к установлению определенных принципов и законов, которые охраняют этот баланс, что большинство из нас считают очень важным. Право на частную жизнь является классическим примером, и это как раз то, о чем мы сегодня говорим. Никто из нас не хочет жить в стеклянном доме. Мы также понимаем, что правительству необходимо знать некоторые личные вещи в общественных интересах или в целях безопасности. Тем не менее, если что-то интересно для других, то это необязательно будет в интересах общества. Именно поэтому во многих странах для прослушивания вашего телефона или проведения обыска властям необходимо получить специальное постановление суда. Демократии понадобилось несколько столетий, чтобы прийти к этому. Итак, мы говорим об очень важном принципе. Это помещение на самом деле не является звуконепроницаемым. Поговорим о хакерах: неприкосновенность частной жизни — это важнейший принцип, а технологии ему сегодня угрожают. Чего мы не должны делать, так это случайно нарушать этот принцип только потому, что частное пространство стало уязвимее, чем раньше. Позвольте мне коротко обозначить три основных направления, в которых Интернет угрожает частному пространству. Первое: Бенджамин Франклин однажды сказал, что три человека могут сохранить тайну только в том случае, если двое из них мертвы. Наша проблема сегодня состоит в том, что один из тех людей, одна из трех сторон — это, по всей видимости, Интернет. Он не умирает, никогда ничего не забывает и всегда доступен. Второе: благодаря Интернету информацию можно найти практически без усилий, так как он собирает и сортирует данные, что ранее было практически невозможно. Возьмите медицинские записи, возьмите сведения о покупках, о которых вы говорили. Третье: в отличие от листа бумаги, который нужно физически найти, скопировать и унести, информацию в Интернете намного легче перемещать. И потому она более уязвима. Короче говоря, Интернет способствует так называемым утечкам. Это может быть случайный выплеск конфиденциальных данных, как, например, списков держателей кредитных карт, когда компания действительно не заметила, что непреднамеренно сделала это. Это может быть результатом поисков частных структур, собирающих сведения о людях из онлайновых источников — таких, как как Facebook, Apple, Google. Это может быть прямое вторжение, например, хакерские действия в отношении файлов компании, что произошло буквально в последние две недели. Sony, Citibank, Chase, Google, — список можно продолжать. Думаю, мы все об этом читали. Это происходит ежедневно. Или, например, государства, которые, прикрываясь национальной безопасностью, осуществляют контроль за разговорами по мобильным телефонам и информацией в Интернете, или организации, крадущие информацию у других оранизаций, как это произошло в случае с WikiLeaks и Госдепартаментом США. Традиционные утечки превратились в настоящее наводнение. Всего несколько лет назад такие мгновенные разоблачения в мировом масштабе были невозможны, и все это является проявлением нескольких ключевых тенденций. Я назову три таких тенденции, затем их последствия и на этом остановлюсь, чтобы позволить другим ответить на вопрос. Первое — это количество времени, которое мы проводим в Интернете, и растущий информационный след, который мы оставляем за собой. Например, на тех из вас, — а я думаю, это почти каждый присутствующий — у кого есть компьютер, BlackBerry и iPad, приходится по три часа машинного времени в течение каждых 60 минут. Довольно пугающе, по крайней мере для меня, выглядит использование сети среднестатистическим человеком: это 36 часов машинного времени в сутки, то есть времени, на протяжении которого он подключен к чему-то. По прогнозам, через два года будет уже 48 часов. Подумайте о количестве информации. И, кстати, когда вы просыпаетесь утром, вам тоже приходится иметь с ней дело, но это уже другой вопрос. Кроме того, есть вопрос скорости передачи данных и количества каналов, по которыми информация может идти. И, наконец, растет число людей и организаций, находящихся в сети. По некоторым оценкам, к 2020 году объем информации, проходящей через Интернет, увеличится в 40 раз. Так вот, подумайте о том, какое невероятное количество данных производит Интернет. И он остается навсегда и будет доступен всегда. Это лавинное накопление данных имеет последствия для бизнеса, правительства, для отдельного человека, для общества в целом. Сейчас основная тема разговоров в обществе — что также отмечалось сегодня утром, во время выступления Президента — это та огромная ценность, которую представляет собой Интернет. Она измеряется в эффективности, в возросшей продуктивности, увеличившейся скорости, способности взаимодействия со многими людьми, — все это верно. Кстати, я считаю, что в России Президент Медведев сильно поспособствовал этому. Однако об обратной стороне процесса говорится меньше. Например, большинство пользователей Интернета рассматривают его с положительной стороны. И они идут обмениваться информацией на Facebook. Мало кто всерьез беспокоится или хотя бы осознает потенциальную опасность для своей репутации, пока не получит прямого удара, как это уже произошло с некоторыми людьми и будет происходить дальше, даже если вы попытаетесь отмахнуться от всего этого. Люди все чаще осуществляют покупки через Интернет, но там вы не можете платить анонимными наличными деньгами. Наличные деньги анонимны. Ваше имя с ними не ассоциировано. Информация же о вашей кредитной карте и истории ваших покупок есть везде. Сегодня легко найти сообщества тех, кто разделяет ваши интересы и убеждения. Это здорово. Но это также означает, что люди часто перестают слушать или общаться с теми, кто не разделяет их интересов и убеждений, если только не хотят оскорбить их или запугать. Можно ли все это контролировать, изменив законодательство? Теоретически — да. Но для этого должен быть решен вопрос конфликта целей, что редко происходит. Правительства в США и Европе старались действовать и в этом направлении. Разрабатываются законы, есть попытки создать соответствующее законодательство. Но реальность такова, что правительствам по-прежнему нужна информация о вас, которую они все больше используют по соображениям безопасности. Поэтому, пока это происходит, правительство фактически дейтвует в обоих направлениях. Настоящие тоталитарные режимы, как все мы видели, заходят еще дальше и запрещают любые медийные каналы, которые им мешают. Частные структуры тоже ведут двойную игру. Они обещают своим пользователей защиту и контроль за сохранностью их данных, но вместе с тем находят выгодные для себя способы предоставления доступа к этим данным третьей стороне, причем часто без ведома пользователей. Теперь, я уверен, люди будут пользоваться Интернетом все время. Мы будем видеть все больше и больше технологий, созданных для того, чтобы защищать нас от подобного рода вещей, но мы также увидим и такие технологии, которые смогут обходить эти технологии. Такого рода перетягивание каната мы уже видели раньше. У меня нет готового ответа. И, похоже на то, что его ни у кого нет. На недавней встрече «большой восьмерки» в Париже как раз обсуждались эти конфликты, и я закончу словами, которые сказал президент Николя Саркози в разговоре с интернет-разработчиками. Он в основном говорил о тех демократических принципах, с которых я начал свое выступление. Вот что он сказал: «Мир, который вы представляете, — это не параллельная вселенная. В нем применяются правовые и моральные нормы, вообще все основные нормы, которые лежат в основе общества и демократических политических систем». Я с этим абсолютно согласен. Итак, уходит ли в прошлое частное пространство? Как я сказал, пока нет. Есть ли серьезный повод для беспокойства? Если для вас немаловажно частное пространство, думаю, что да. Спасибо.
[00:05:00 - 00:06:00] | Т. Канделаки | Прекрасный пример у нас перед глазами, когда технологии опережают образование, и невозможно ими не воспользоваться. Мы сегодня много говорили до начала панели о том, как сделать, чтобы дети не пользовались технологиями. Дети же понимают, что они есть, понимают, что ими надо пользоваться. И не могу не добавить: для меня лично было открытием, какую литературу читают дети, сейчас все-таки период каникул и многие, наверное, следят за этим. В нашем детстве прочитать «Войну и мир» за лето — это было большим подвигом. Сегодня уже полностью доказан тот факт, что за четыре дня человек потребляет ровным счетом такое же количество информации, которое содержится в «Войне и мире», то есть количество информации будет увеличиваться. И количество технологий, которые дадут возможность, с одной стороны, переваривать эту информацию, с другой стороны, использовать ее — кому-то во благо, кому- то во вред — тоже будет все время увеличиваться и ускоряться. Но здесь, если позволите, я продолжу нашу панель. Я хотела бы задать свои следующие вопросы и Игорю Щеголеву, и Андрею Дубовскову. Поскольку Интернет не имеет границ, имеет ли смысл вводить правила в одной только стране, например, России? И правда ли, что большинство современных международных соглашений в этой сфере на самом деле не работают?
[00:06:00 - 00:07:00] | И. Щеголев | Начну, наверное, я, Андрей потом добавит. Конечно же, есть попытки отрегулировать Интернет в отдельно взятой стране, что само по себе выглядит достаточно странно, потому что это частная структура, которая возникла в совершенно другом отдельно взятом государстве. Но за время, прошедшее с момента появления Интернета, он превратился в большой глобальный ресурс, который влияет и на политику, и на социальную жизнь людей, и на экономику, и на технологии... Представить себе современную цивилизацию без этого ресурса трудно. Тем не менее, он глобально не управляется. И сама эта конструкция сделана так, чтобы быть непотопляемой, неубиваемой и самовосстанавливающейся. Данные, которые там хранятся, находятся там вечно и, соответственно, те злоупотребления, которые совершаются с помощью этого инструмента, тоже носят глобальный характер, — идет ли речь о целенаправленном вредительстве или просто о невинных шутках, которые потом парализуют целые отрасли экономики, а иногда и целые страны. Вопрос, можно ли отрегулировать Интернет в отдельно взятой стране — он скорее риторический. Стоит закрыть какой-либо ресурс, как он тут же мигрирует в те страны, где запретительное право не применяется, и продолжает действовать оттуда: умельцы всегда обойдут любые фильтры и любые попытки цензуры. Вот почему, с нашей точки зрения, национальное регулирование в запретительном смысле абсолютно бесперспективно: оно противоречит самому смыслу этой технологии и в значительной степени — настрою в обществе. Другая проблема — есть ли преступления и правонарушения, которым государство должно противостоять? Конечно, они есть. И в значительной степени этим правонарушениям, которые совершаются в национальном масштабе, можно противостоять с помощью тех правовых инструментов, которые уже имеются. Ведь Интернет — это лишь среда. И преступления, которые совершаются в Интернете, точно так же являются преступлениями, как если бы они совершались на улице. Если у вас украли кошелек на улице — это преступление, если у вас украли данные и с их помощью похитили средства со счета — это такое же преступление. И здесь можно бороться — если эти преступления совершены на территории вашей страны. Если они совершены за границей, это уже гораздо сложнее, это уже гораздо более трудная задача — до тех пор, пока представители разных государств не сядут и не договорятся, как этому противостоять. Одна такая попытка была предпринята. Это так называемая Будапештская конвенция Совета Европы, которая, между прочим, допускала действия на чужой территории для преследования злоумышленников в Интернете, без предупреждения властей этой страны. В значительной степени именно поэтому конвенция не заработала, многие страны, в том числе и Россия, не сочли возможным ее ратифицировать по этой причине. И Россия, в частности, ставит вопрос о том, что нужны общие правила для борьбы с очевидными преступлениями, которые являются таковыми в любой цивилизации и любой культуре, для любой нации. Нужно договариваться. Но пока такого консенсуса нет, хотя площадка, где это можно было бы сделать, на наш взгляд, существует. Это Международный союз электросвязи — старейшая международная организация, в два раза старше ООН. Нужно договориться о базовых принципах, сказать, что вот это или то — абсолютное зло, все с этим согласны, и мы должны сделать все возможное, все от нас зависящее, чтобы с этим злом бороться. Мы считаем, что это можно сделать на примере детской порнографии, потому что нет культуры, в которой это было бы допустимо. И мы усиленно ищем союзников по всему миру, которые поддержали бы наш подход. Конечно же, один из существенных факторов при решении этого вопроса — это как раз частная жизнь, это данные о человеке, которые находятся в Интернете, это вопрос о том, как с ними поступать. Есть оборотная сторона — это анонимность Интернета: все-таки большая часть Интернета у нас по- прежнему анонимна, это в значительной степени подстегивает злоумышленников, но с другой стороны, это является защитой для очень многих людей, которые делятся в Интернете какой-либо информацией, ищут эту информацию. Так что здесь есть две стороны и всегда нужно искать баланс. Отвечая на ваш вопрос, скажу, что в пределах одной страны невозможно эффективно противостоять всем тем нарушениям, которые возможны в Интернете. Мы не видим смысла вводить на национальном уровне запретительный режим для Интернета, но считаем, что на международном уровне координация нужна. Нужны общие правила игры, которые отвечали бы, прежде всего, интересам пользователей и интересам граждан.
[00:07:00 - 00:08:00] | Т. Канделаки | Прежде чем Андрей продолжит эту дискуссию, я бы хотела спросить Вас, Игорь. Вы наверняка в курсе конфликта, связанного с блоггером Матвиенко, который оказался в итоге мужчиной. Уважаемые средства массовой информации, многие издания публиковали цитаты из этого блога, и это стало темой для дискуссии во всей мировой прессе. Как вы считаете, в данном случае можно ли было как-то это предотвратить, проверить этого человека? Он ведь тоже определенным образом наносит ущерб целой стране.
[00:08:00 - 00:09:00] | И. Щеголев | Каждое общество должно для себя решить, что для него ценнее — анонимность или транспарентность. И здесь дать четкий ответ невозможно. Это предмет для общественной дискуссии, это вопрос формирования этой среды, это вопрос баланса интересов гражданина и общества. И я считаю, что дискуссии, подобные нашей, способствуют поиску такого баланса.
[00:09:00 - 00:10:00] | Т. Канделаки | Андрей, пожалуйста.
[00:10:00 - 00:11:00] | А. Дубовсков | На одной из предыдущих открытых площадок, которая имела место не так давно, — я имею в виду выставку «Связь-Экспоком», которая проходила в мае месяце в Москве, — мы с уважаемым министром разошлись во мнениях по одному из вопросов. Так вот, внимательно послушав Игоря Олеговича сейчас, я рад сообщить вам, что баланс будет восстановлен. Я, безусловно, готов поддержать его позицию, но при этом хотел бы обратить ваше внимание на саму постановку вопроса. Понимаете, вопрос не звучит так: «имеет ли смысл трансграничное регулирование или каждой стране надо замкнуться в своих границах». Замыкание в своих границах происходит априори. Это всегда так происходит, когда возникают новые технологии, новые возможности. Государство всегда пытается подстроить имеющиеся в его распоряжении ресурсы под эти новые возможности. Это нормальный процесс. Не надо говорить, что это правильно или неправильно. Так происходит всегда. Другой вопрос, что свои собственные национальные, ментальные и прочие приоритеты — и в том числе, безусловно, важнейший среди них, суверенитет в вопросах безопасности, — мы должны суметь ввести все эти исходные данные в некую трансграничную договоренность. Мы должны достичь соглашения, которое удовлетворяло бы все заинтересованные стороны. Да, есть неудачи, допустим, с Будапештской конвенцией, но опять же, это нормальное явление. Это просто первый шаг на пути к созданию наднациональной системы, регулирующей взаимоотношения индивидуума и общества в сетевом пространстве. Ограничусь этим, спасибо.
