[00:00:00 - 00:01:00] | Э. Шмидт | Весьма широкий спектр вопросов, Сергей.
[00:01:00 - 00:02:00] | С. Гуриев | Безусловно, это так. Вы правы.
[00:02:00 - 00:03:00] | Э. Шмидт | Прежде всего, хочу поблагодарить Вас за организацию этого Форума. Спасибо за то, что пригласили меня сюда, на Экономический форум. Хочу сказать, что я был в Санкт-Петербурге 17 лет назад, когда Интернет еще только зарождался, и изменения, которые я наблюдал в этот период, настолько поразительны, что я хочу поздравить всех вас с новыми достижениями. Построить такую инфраструктуру, создать столь мощную экономическую структуру вокруг Интернета в России — это достижение, которым вы можете гордиться, и это большое свершение для каждого жителя России. Думая об этом, я размышляю, что произойдет, когда у всех будет доступ к широкополосным сетям передачи данных, проводным и беспроводным. И я должен добавить, что государство, на мой взгляд, должно в первую очередь способствовать внедрению беспроводной и проводной широкополосной связи. Граждане смогут подключиться к этой работе уже позже. И эти граждане с помощью инфраструктуры смогут приступить к инвестициям в образование, в индустрию развлечений и так далее. Внедрение широкополосных сетей и быстрых соединений для каждого гражданина, для как можно более широкого круга людей — все это весьма способствует демократии. Это открывает перед людьми новые возможности. Это помогает гражданам в их повседневной жизни. Это хорошая возможность для создания новых рабочих мест. Это увеличивает объемы экспорта. Это способствует глобализации. В недавнем исследовании компании McKinsey, которое вышло, если не ошибаюсь, в прошлом месяце, указывается, что взамен каждого рабочего места, которое исчезает из-за Интернета, создается 2,6 новых рабочих мест. Поэтому вне зависимости от того, сильная у вас экономика или слабая, хорошая демократия или не очень, неизменным остается один факт: Интернет улучшает все вокруг себя, особенно быстрый широкополосный Интернет. Поэтому если у вас есть широкополосный Интернет... Должен сказать, Россия здесь находится в выигрышном положении. Уровень проникновения Интернета в вашей стране сейчас составляет около 40—45%. Если вы взглянете на средние цифры по Европе, то современная европейская страна, какой, с моей точки зрения, является и Россия, очень быстро может достичь уровня 70—80%. Это будет означать громадный рост. Громадный рост телекоммуникационной отрасли, количества новых компаний, новых инвестиций и так далее. Недавно у вас было несколько значимых первых публичных размещений акций — «Яндекс», Mail.ru Group и других компаний. Они привлекают капитал и инвестиции для следующего поколения предпринимателей, которые будут строить свои компании на этом фундаменте. Я полагаю, эти события создают необходимый фон для диалога о том, что может произойти и что можно создать на этой основе.
[00:03:00 - 00:04:00] | С. Гуриев | Думаю, можно предположить, что через 10 лет в таких странах, как Россия, а также в более бедных странах, чем Россия, проникновение широкополосного Интернета достигнет почти 100%.
[00:04:00 - 00:05:00] | Э. Шмидт | Но это довольно-таки невероятное допущение.
[00:05:00 - 00:06:00] | С. Гуриев | Согласен с Вами.
[00:06:00 - 00:07:00] | Э. Шмидт | Это то же самое, что заявить, будто одновременно во всех таких странах появятся хорошие автодороги, мосты и прочая инфраструктура. Плюс этой технологии в том, что она сравнительно недорога в эксплуатации, и волоконно-оптическая инфраструктура, которая сейчас создается в России, станет ее активом на несколько сотен лет.
[00:07:00 - 00:08:00] | С. Гуриев | Верно. Если предположить, что передача информации, данных и мультимедийного контента станет дешевой и доступной для нескольких миллиардов людей, что произойдет с такими понятиями как, например, право интеллектуальной собственности?
[00:08:00 - 00:09:00] | Э. Шмидт | Хорошо, давайте обсудим некоторые события, которые произойдут в результате. Предположим, что у каждого из нас дома есть подключение к волоконно-оптической линии связи. Вы скажете: «Ну, это трудная задача». А в некоторых странах Азии такая задача уже почти решена. В Японии средняя скорость доступа в Интернет достигает примерно 100 мегабит в секунду, а в Корее — 160 мегабит. Если дома в вашем распоряжении более 100 мегабит, различия между телевидением, радио, Интернетом и прочими источниками информации просто сходят на нет.
[00:09:00 - 00:10:00] | С. Гуриев | Безусловно.
[00:10:00 - 00:11:00] | Э. Шмидт | Вы смотрите кинофильм и не знаете, откуда он поступил на устройство просмотра: из Интернета или через другой канал передачи данных. Я считаю, что за этой моделью будущее. В этом сценарии обычные посредники при дистрибуции (традиционные сети и дистрибьюторы) оказываются не у дел, потому что теперь создатели контента, продюсеры и все специалисты, занятые при создании фильмов, способны обращаться к потребителям напрямую и взимать с них плату, которую они считают необходимой. Неожиданно это меняет ход вещей. Новостные компании тоже захотят демонстрировать свои новости везде, а не только на своем канале. Это пример потрясения, которое изменяет экономику, но в итоге приносит пользу обществу, потому что люди получают возможность видеть все, что пожелают. Необходимый им контент всегда будет доступен на планшете iPad, в телевизоре или любом другом устройстве.
[00:11:00 - 00:12:00] | С. Гуриев | Но какова тогда жизнеспособная бизнес-модель для создателя контента? Мы уже стали свидетелями кардинальных изменений в музыкальной индустрии. Мне кажется, вскоре мы увидим изменения того же порядка в индустрии кинематографии и в новостных компаниях, о которых Вы уже упоминали. Э Шмидт: Создатели контента разрабатывают новые модели. Подход Google состоит в том, чтобы уважать авторские права. С нашей точки зрения, если вы владеете авторскими правами и создаете продукт, то сами должны решать, как его реализовывать. Итак, первым из возможных решений является использование рекламных объявлений. И мы тоже занимаемся рекламным бизнесом. Очевидно, что эта модель служит исключительно самой себе. Но другой способ заключается в том, чтобы использовать подписку. И если у вас достаточно хороший контент, возможно, люди будут платить вам ежемесячно. Они передадут вам сведения о своих кредитных картах. Мы создали систему под названием Newspass, которая реализует именно этот подход. Она позволяет соблюсти авторские права, и люди будут изобретать все новые способы сбора платы. Например, параллельно с традиционными моделями сбора платы за услуги будут предлагаться альтернативные варианты. И все это — рынки с жесткой конкуренцией. Цены будут падать. Кто-то сделает деньги, а кто-то их потеряет. Но, в конце концов, все это — капиталистические системы, и в итоге клиент оказывается в выигрыше.
[00:12:00 - 00:13:00] | С. Гуриев | Итак, Вы ожидаете, что в некоторых отраслях будет заметно сокращение доходов, что мы уже наблюдали в музыкальной индустрии. Если люди в наши дни стремятся сделать карьеру знаменитости или кинозвезды, потеряет ли этот подход свою привлекательность в будущем? Э Шмидт: Давайте говорить об этом в позитивном ключе.
[00:13:00 - 00:14:00] | С. Гуриев | Хорошо.
[00:14:00 - 00:15:00] | Э. Шмидт | Сколько людей по-настоящему расстроились из-за того, что бизнес пейджинговых компаний сегодня не процветает? Все вокруг крайне опечалены судьбой пейджинговых компаний. Там работали такие милые люди. Было столько рабочих мест... Здесь у нас есть человек, который весьма и весьма опечален судьбой пейджеров. Но пришли злые люди из телефонного бизнеса, взяли функцию пейджера и передали ее телефону? Ужасная идея! Разве Вы не видите, какое это безумие?.. Конечно, я шучу. Я должен честно и откровенно сказать Вам, что с этого момента Вы не имеете права шутить в Интернете. И это тоже была шутка.
[00:15:00 - 00:16:00] | С. Гуриев | Безусловно. Эту фразу вырвут из контекста...
[00:16:00 - 00:17:00] | Э. Шмидт | Наверняка.
[00:17:00 - 00:18:00] | С. Гуриев | Выбросят из нее Вашу оговорку и используют против Вас.
[00:18:00 - 00:19:00] | Э. Шмидт | Это точно. Я просто позволил себе немного пошутить за счет замечательных людей из пейджинговых компаний. Но в любом случае, я хочу сказать, что технологии меняются. Раньше я носил с собой пейджер, а теперь у меня мобильный телефон, который поддерживает все функции пейджера, и даже больше. Это называется технологическим прогрессом. Мы все его одобряем. Интересно, что в индустрии звукозаписи доходы от записей, получаемые названным Вами способом, сейчас упали до 5—10%. Откуда же берутся остальные деньги? Они образуются за счет концертных туров. Это доходы от продажи сопутствующих товаров. Компании этой индустрии сейчас переживают бум. Тот факт, что одна из составляющих бизнеса стала ненужной после внедрения новых технологий, не означает, что теперь в этом бизнесе вообще нельзя добиться успеха. В качестве примера приведу тот факт, что широкая доступность музыки на самом деле позволяет мировым звездам продавать товары под своими брендами, чтобы стать еще популярнее, и такие случаи не единичны. Итак, я повторюсь: мы всегда стремимся концентрироваться на негативной стороне вопроса, на тех, кто проиграл в результате технологических изменений. Но мы забываем, что одновременно создаются огромные новые отрасли. И я убежден, что эта технология приведет к такому же результату. Еще один пример. Было достаточно много дискуссий на тему газет. Конечно, важность газет чрезвычайно высока. Газетам очень важно иметь возможность зарабатывать деньги. Но газеты пользуются невероятным успехом в Интернете. Проблема в том, как заработать на этом деньги.
[00:19:00 - 00:20:00] | С. Гуриев | Безусловно.
[00:20:00 - 00:21:00] | Э. Шмидт | Они не потеряли своих читателей, отнюдь нет. Просто их читатели платят за услуги другим способом, и суммы платежей недостаточно велики. Но на самом деле людям нравятся газеты, и особенно — газеты в Интернете.
[00:21:00 - 00:22:00] | С. Гуриев | Согласен с Вами. Но смогут ли газеты позволить себе найм прежнего количества высококлассных журналистов?
[00:22:00 - 00:23:00] | Э. Шмидт | Что ж, надеюсь, мы создадим новые модели. Кстати, у Вас ведь ученое звание профессора.
[00:23:00 - 00:24:00] | С. Гуриев | Да.
[00:24:00 - 00:25:00] | Э. Шмидт | И Вы можете себе представить, что через 10—20 лет россияне изобретут чрезвычайно развитые способы обучения и преподавания сложных наук (экономики и прочих), представителем которых Вы являетесь, и в результате Вам также придется что-то менять в своей деятельности.
[00:25:00 - 00:26:00] | С. Гуриев | Совершенно верно.
[00:26:00 - 00:27:00] | Э. Шмидт | Но суть в том, что обществу будет лучше, если все будут изучать экономику с помощью Интернета, потому что он проникает во все уголки страны.
[00:27:00 - 00:28:00] | С. Гуриев | И это дает возможность учиться у лучших профессоров.
[00:28:00 - 00:29:00] | Э. Шмидт | У самых лучших профессоров.
[00:29:00 - 00:30:00] | С. Гуриев | А не у посредственных.
[00:30:00 - 00:31:00] | Э. Шмидт | Я хочу сказать, это как бизнес знаменитостей.
[00:31:00 - 00:32:00] | С. Гуриев | Согласен с Вами.
[00:32:00 - 00:33:00] | Э. Шмидт | Как бизнес знаменитостей, который строится вокруг таланта конкретного человека. Нет особых причин считать, что Ваш талант преподавателя, о котором я слышал много хороших отзывов, не сможет собрать куда более широкую аудиторию.
[00:33:00 - 00:34:00] | С. Гуриев | Верно.
[00:34:00 - 00:35:00] | Э. Шмидт | Итак, Интернет создает очень большие аудитории, которые можно монетизировать. Важно изобрести новые способы монетизации, они должны отличаться от прежних.
[00:35:00 - 00:36:00] | С. Гуриев | Давайте рассмотрим еще один пример — сервис «Google Книги». Насколько успешно могут применяться в этом проекте модели, о которых Вы говорили?
[00:36:00 - 00:37:00] | Э. Шмидт | «Google Книги» представляет собой весьма интересный сервис. Сейчас я приведу вам статистику от Amazon. Я был...
[00:37:00 - 00:38:00] | С. Гуриев | Вы не знаете, что такое «Google Книги»? Поднимите руки, кто не знает о службе «Google Книги».
