[00:00:00 - 00:01:00] | Р. Чилкоут | Where do you see the oil price in a year’s time?
[00:01:00 - 00:02:00] | Д. Пумпянский | You know we are praying for USD 65 for WTI by the end of the year and maybe USD 70 for Brent. I think it will give confidence to all customers to start investing…
[00:02:00 - 00:03:00] | Р. Чилкоут | USD 70 for Brent. Ok, we have one guess and that is how we are going to kick it off. Thank you very much, Dmitry Pumpyansky. He is the world’s biggest pipe maker and supplies almost all of those pipes to the oil and gas sector so he definitely is interested in what the oil price is going to be. Welcome to our debate, a Bloomberg television debate. Welcome to St. Petersburg, Russia. My name is Ryan Chilcote. We are going to be examining the new realities of the oil and gas market. Let’s take a look at what the world of oil and gas of tomorrow looks like. Видео: Global oil and gas markets have entered a new era, and the changes began last year. “We simply need an additional monitoring and new consultations if necessary.” – Igor Sechin, Rosneft CEO. Consulting and monitoring oil prices does not mean cutting production. That comment from the head of a producer that drills more oil than any other public company in the world sent prices already tumbling further south. Russia, Mexico, Venezuela and Saudi Arabia could not agree to cut production nor does OPEC. Today, the Saudis are pumping more oil than at any point in the last three decades. And Iraq, Libya and Iran are already the post sanctions high and say that they will add millions of barrels to the market. The world is washed in oil. “There is increase in demand, there is just a lot of oil around.” – Bob Dudley, BP CEO. Executives of the world’s biggest oil companies believe American shale revolution will continue. “This business will survive at 100 dollars Brent pricing, it will survive at 50–60 dollars Brent pricing.” – Ryan Lance, ConocoPhillips CEO There may be a new reality on the market. “Now the cycle is down, we have to live with it. We have to accommodate our people, our country to the new reality that the market will not realize USD 100 anymore.” – Abdallah El-Badri, the OPEC Secretary General. What role will oil and gas companies play in the future, if any, and how will they change? “One of these days we are not going to need fossil fuels. I do not know when – 2040, 2050 or thereafter.” – Ali Al-Naimi, Saudi Arabia Oil Minister.
[00:03:00 - 00:04:00] | Р. Чилкоут | Welcome back. Exactly one year ago today the price of oil, a barrel of oil, stood at USD 113. It is now just north of USD 60 a barrel. Where will it be in a year’s time? Let’s continue the guessing game. At first, we have Ben Van Beurden of Shell. Give us the Shell view. Б. ван Берден: Well, Rayan, if you were going to get a real number out of me I am afraid I have to disappoint you. My reputation is way too important for me to try predicting or speculating. What I do believe is that in the long term the fundamentals are pretty clear. We will see continuing slow growth in demand. We will see a continuous decline in supply from existing fields. So what we will see is a continuing need for investment in the oil sector just to have supply and demand balance. We think in the long run oil prices will have to revert to levels in the line with our long-term planning premises USD 79–110 oil. When it will happen and how it will happen, I do not know.
[00:04:00 - 00:05:00] | Р. Чилкоут | Thank you very much! Alexander Novak, give us the view of the Russian Energy Ministry – oil in a year’s time, where will it be?
[00:05:00 - 00:06:00] | А. Новак | Я не хотел бы делать прогнозы, но тем не менее, нужно говорить о среднегодовой цене, так как в течение года она может меняться как в сторону снижения, так и в сторону увеличения. На мой взгляд, цены будут ниже, чем считает господин ван Берден. Хотя, может быть, ему виднее — он больше знает про сланцевую нефть. Мне кажется, что сегодняшние возможности рынка таковы, что при условии баланса спроса и предложения, в ближайшие два-три года цена нефти марки Brent будет в районе 65 долларов. Конечно, они, могут колебаться.
[00:06:00 - 00:07:00] | Р. Чилкоут | Mario Mehren, give us the Wintershall view. The price of oil in one year’s time. A number?
[00:07:00 - 00:08:00] | М. Мерен | I would like to join Ben Van Beurden in not giving you a number but what I would like to give you is the outlook that we will definitely continue to see lots of volatility. And, therefore, I think for the oil and gas industry the question is not that much about what will be the exact price in one year’s time but rather how can we better deal with that volatility and how can we make ourselves as an industry efficient, performing and strong so that we can handle this volatility in the future.
[00:08:00 - 00:09:00] | Р. Чилкоут | Alexander Dyukov, the view from Gazprom Neft. I know you have got a number.
[00:09:00 - 00:10:00] | А. Дюков | Я также не хотел бы давать прогнозы. Я назову одну только одну цифру: я считаю, что цена 75—80 долларов. Как ни парадоксально, но через год эта цена должна устроить и производителя, и потребителя. В настоящий момент потребитель наслаждается низкими ценами, но мы прекрасно понимаем, что для того, чтобы создать условия для замещения выбывающих мощностей и экономического роста, все равно потребление нефти должно увеличиваться. А для того, чтобы обеспечить добычу через пять-десять лет, нужно инвестировать сейчас. Безусловно, низкие цены приводят к недоинвестициям, и чем дольше они будут держаться, тем выше вероятность того, что через некоторое время цена может взлететь и пробить недавний уровень в 100—110 долларов. Поэтому если говорить о среднесрочной перспективе, то через год, я надеюсь, цена составит 75 долларов, а в долгосрочной — должна вернуться на уровень 100—120 долларов за баррель
[00:10:00 - 00:11:00] | Р. Чилкоут | Thank you, Mr. Dyukov. The great thing about gas and oil price in a year’s time is that everybody gets a vote. Now, your turn, I want to see who is the most optimistic? Raise your hand if you think that in a year’s time oil will be at USD 80. This is really bad news for you. Two people think that oil is going to be at USD 80 or everyone in the room is asleep. Oh, three. Ok, thank you very much. It is the last chance for USD 80. Sixty dollars is roughly where we are right now for Brent, it is just little bit south. Who sees USD 60, roughly where we are right now, in a year’s time? I mean we just have the most pessimistic group in the world. USD 40? You all have to raise your hands now because I have not seen them yet. Alright, that was a Hollywood part of the show. We could discuss the issues around affecting the oil price going down. What we really want to talk about here is, of course, what the oil and gas markets are going to look like in 20 years’ time, and break it up into the sub-categories. I want to start because we addressed it in the film a little bit with OPEC and the producing countries of OPEC. Minister Novak, I know you made a speech at the OPEC Seminar, you watched the decision and the preparations for the decision. What did you make of OPEC’s decision to, I guess, do nothing or another way of putting it is not cut production again.
