iter	MultiClass
0	1.436001894
1	1.314634002
2	1.22664735
3	1.156030832
4	1.098847038
5	1.050018169
6	1.008827447
7	0.9726953692
8	0.9429276838
9	0.9181757412
10	0.8933001642
11	0.8731423085
12	0.8528620619
13	0.8370828473
14	0.8230506054
15	0.809402944
16	0.7954304062
17	0.7838820125
18	0.7736723485
19	0.7649730189
20	0.7573192889
21	0.7507170934
22	0.7430511926
23	0.7370096483
24	0.7310279257
25	0.7264493126
26	0.7219606494
27	0.7164206567
28	0.7123855388
29	0.7090742052
30	0.7063312278
31	0.7033397768
32	0.7001079153
33	0.6971793038
34	0.6950464983
35	0.693566788
36	0.6913512008
37	0.6900522758
38	0.6873069959
39	0.6862318293
40	0.6842396788
41	0.6832148854
42	0.6811349892
43	0.6795290135
44	0.6783086598
45	0.6767704784
46	0.6751106604
47	0.6738462954
48	0.6733116908
49	0.6729225359
50	0.6706550515
51	0.669434522
52	0.6686628866
53	0.6674908106
54	0.6667421421
55	0.6651291797
56	0.6646228599
57	0.6627414735
58	0.6619713667
59	0.6605893959
60	0.6594709873
61	0.6590242037
62	0.6578235705
63	0.6572474292
64	0.6561395043
65	0.6552723061
66	0.6549212258
67	0.6547296637
68	0.6535858
69	0.6532453246
70	0.6526642194
71	0.652016781
72	0.6512334197
73	0.6508954307
74	0.6507775472
75	0.6500755912
76	0.6487865208
77	0.6485432237
78	0.6483583994
79	0.6482612439
80	0.647647006
81	0.647530629
82	0.6464970906
83	0.6464045034
84	0.6459857995
85	0.6446993614
86	0.6442990053
87	0.6439154233
88	0.6434804487
89	0.6431188951
90	0.6430189047
91	0.6420267744
92	0.6404020233
93	0.6400782073
94	0.6398088976
95	0.6397354708
96	0.6392946332
97	0.6382226805
98	0.6376256161
99	0.6371402021
100	0.6366483149
101	0.6362628411
102	0.6359124876
103	0.6350467826
104	0.6345965321
105	0.6339150871
106	0.6332164537
107	0.6326288778
108	0.6324818418
109	0.6321976079
110	0.632136656
111	0.6320250724
112	0.6319893793
113	0.6315499386
114	0.6309400711
115	0.6305129236
116	0.6300694759
117	0.6296724392
118	0.6292298301
119	0.6285951553
120	0.6282072076
121	0.6279786153
122	0.6274174259
123	0.627271155
124	0.6269923244
125	0.6264120397
