iter	Passed	Remaining
0	159	158935
1	183	91606
2	208	69455
3	234	58479
4	260	51758
5	284	47206
6	311	44174
7	336	41688
8	363	39986
9	386	38262
10	417	37553
11	445	36657
12	473	35913
13	501	35321
14	526	34572
15	551	33936
16	578	33449
17	604	32985
18	632	32673
19	660	32377
20	688	32093
21	720	32019
22	748	31801
23	773	31464
24	800	31227
25	827	30981
26	851	30691
27	879	30539
28	906	30344
29	931	30104
30	958	29975
31	985	29822
32	1009	29573
33	1033	29360
34	1056	29136
35	1079	28902
36	1103	28711
37	1129	28583
38	1158	28535
39	1182	28373
40	1208	28256
41	1232	28103
42	1256	27971
43	1280	27822
44	1306	27720
45	1329	27577
46	1358	27546
47	1384	27460
48	1413	27430
49	1440	27375
50	1468	27321
51	1494	27250
52	1518	27125
53	1542	27017
54	1565	26902
55	1604	27044
56	1630	26981
57	1657	26926
58	1686	26897
59	1713	26850
60	1741	26800
61	1765	26706
62	1791	26641
63	1815	26558
64	1843	26524
65	1872	26501
66	1897	26420
67	1919	26313
68	1945	26250
69	1969	26169
70	1994	26095
71	2017	26000
72	2042	25939
73	2068	25888
74	2092	25812
75	2117	25750
76	2146	25733
77	2169	25643
78	2192	25565
79	2214	25465
80	2239	25412
81	2263	25334
82	2291	25318
83	2319	25298
84	2347	25266
85	2375	25250
86	2405	25245
87	2435	25242
88	2467	25261
89	2493	25207
90	2522	25195
91	2549	25157
92	2577	25136
93	2599	25056
94	2622	24980
95	2644	24902
96	2668	24841
97	2695	24812
98	2723	24786
99	2747	24726
100	2775	24701
101	2798	24640
102	2821	24568
103	2847	24528
104	2870	24471
105	2894	24413
106	2920	24371
107	2946	24333
108	2971	24286
109	2997	24249
110	3031	24281
111	3057	24244
112	3081	24189
113	3106	24141
114	3136	24134
115	3166	24133
116	3189	24068
117	3215	24031
118	3237	23964
119	3260	23913
120	3284	23856
121	3306	23795
122	3332	23757
123	3356	23710
124	3383	23681
125	3417	23705
126	3453	23741
127	3482	23723
128	3506	23677
129	3534	23655
130	3562	23635
131	3590	23607
132	3619	23591
133	3646	23565
134	3674	23541
135	3699	23503
136	3722	23451
137	3748	23413
138	3776	23394
139	3804	23371
140	3834	23362
141	3861	23333
142	3887	23295
143	3914	23268
144	3937	23219
145	3961	23174
146	3988	23142
147	4016	23120
148	4047	23118
149	4074	23091
150	4102	23064
151	4127	23025
152	4152	22988
153	4177	22948
154	4204	22919
155	4228	22879
156	4254	22843
157	4280	22811
158	4306	22777
159	4332	22745
160	4358	22711
161	4383	22677
162	4414	22667
163	4443	22648
164	4471	22626
165	4502	22619
166	4532	22606
167	4560	22587
168	4590	22570
169	4616	22538
170	4639	22489
171	4665	22458
172	4693	22438
173	4723	22420
174	4751	22401
175	4777	22368
176	4804	22338
177	4826	22289
178	4849	22244
179	4875	22210
180	4896	22156
181	4919	22109
182	4944	22076
183	4968	22035
184	4992	21992
185	5016	21951
186	5040	21913
187	5063	21869
188	5085	21822
189	5108	21778
190	5131	21736
191	5159	21712
192	5192	21710
193	5219	21685
194	5248	21668
195	5270	21619
196	5292	21573
197	5316	21534
198	5339	21491
199	5365	21461
200	5395	21448
201	5423	21425
202	5449	21395
203	5474	21363
204	5503	21341
205	5549	21389
206	5633	21581
207	5822	22169
208	5942	22489
209	6036	22710
210	6174	23087
211	6257	23257
212	6331	23393
213	6419	23578
214	6510	23771
215	6601	23959
216	6728	24277
217	6786	24342
218	6859	24461
219	6931	24574
220	7001	24678
221	7051	24713
222	7116	24794
223	7177	24866
224	7241	24942
225	7310	25035
226	7465	25423
227	7561	25601
228	7703	25935
229	7812	26153
230	7938	26425
231	8047	26640
232	8169	26891
233	8276	27094
234	8391	27316
235	8523	27593
236	8656	27868
237	8777	28101
238	8901	28341
239	9017	28554
240	9068	28558
241	9117	28558
242	9172	28574
243	9233	28610
244	9313	28700
245	9439	28933
246	9557	29137
247	9682	29360
248	9757	29429
249	9822	29467
250	9925	29617
251	10001	29687
252	10104	29834
253	10142	29788
254	10171	29716
255	10192	29622
256	10215	29534
257	10237	29443
258	10269	29382
259	10293	29296
260	10317	29211
261	10343	29135
262	10366	29051
263	10462	29168
264	10493	29104
265	10521	29032
266	10544	28947
267	10568	28867
268	10592	28785
269	10615	28701
270	10637	28614
271	10659	28530
272	10687	28460
273	10717	28398
274	10749	28340
275	10771	28255
276	10804	28202
277	11144	28943
278	11433	29547
279	11629	29904
280	11870	30373
281	12016	30595
282	12281	31115
283	12497	31508
284	12735	31949
285	12896	32195
286	13053	32429
287	13240	32732
288	13622	33514
289	13808	33808
290	13977	34053
291	14173	34365
292	14314	34540
293	14464	34734
294	14703	35139
295	14887	35407
296	15116	35781
297	15292	36025
298	15474	36278
299	15627	36463
300	15911	36950
301	16130	37281
302	16440	37819
303	16628	38070
304	16793	38266
305	16970	38489
306	17120	38645
307	17316	38906
308	17480	39089
309	17671	39334
310	17918	39697
311	18118	39953
312	18284	40132
313	18421	40246
314	18508	40249
315	18582	40223
316	18609	40094
317	18636	39967
318	18657	39829
319	18678	39691
320	18699	39555
321	18728	39434
322	18759	39320
323	18792	39208
324	18813	39073
325	18834	38940
326	18855	38805
327	18875	38671
328	18896	38539
329	18919	38412
330	18945	38290
331	18971	38171
332	19000	38058
333	19027	37940
334	19050	37816
335	19075	37696
336	19098	37573
337	19120	37449
338	19142	37324
339	19169	37212
340	19200	37105
341	19229	36997
342	19253	36878
343	19274	36756
344	19298	36638
345	19320	36519
346	19341	36398
347	19364	36281
348	19397	36183
349	19444	36111
350	19476	36011
351	19497	35894
352	19520	35778
353	19544	35665
354	19566	35550
355	19590	35438
356	19617	35334
357	19646	35232
358	19674	35129
359	19697	35017
360	19730	34925
361	19755	34816
362	19776	34704
363	19799	34594
364	19822	34486
365	19849	34384
366	19879	34287
367	19909	34192
368	19931	34082
369	19953	33975
370	19977	33870
371	20000	33764
372	20024	33660
373	20049	33559
374	20079	33465
375	20111	33376
376	20135	33273
377	20157	33168
378	20180	33065
379	20205	32966
380	20227	32863
381	20253	32766
