2024-11-23 03:37:53,739 INFO    MainThread:28188 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-11-23 03:37:53,740 INFO    MainThread:28188 [wandb_setup.py:_flush():79] Configure stats pid to 28188
2024-11-23 03:37:53,740 INFO    MainThread:28188 [wandb_setup.py:_flush():79] Loading settings from C:\Users\vav11\.config\wandb\settings
2024-11-23 03:37:53,740 INFO    MainThread:28188 [wandb_setup.py:_flush():79] Loading settings from D:\Backup\Less Important\My programs\Git\ML\Models\CNN\dogs_vs_cats\wandb\settings
2024-11-23 03:37:53,740 INFO    MainThread:28188 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-23 03:37:53,740 INFO    MainThread:28188 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-23 03:37:53,741 INFO    MainThread:28188 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'Models\\CNN\\dogs_vs_cats\\main.py', 'program_abspath': 'D:\\Backup\\Less Important\\My programs\\Git\\ML\\Models\\CNN\\dogs_vs_cats\\main.py', 'program': 'D:\\Backup\\Less Important\\My programs\\Git\\ML\\Models\\CNN\\dogs_vs_cats\\main.py'}
2024-11-23 03:37:53,741 INFO    MainThread:28188 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-23 03:37:53,741 INFO    MainThread:28188 [wandb_init.py:_log_setup():533] Logging user logs to D:\Backup\Less Important\My programs\Git\ML\Models\CNN\dogs_vs_cats\wandb\run-20241123_033753-u3lo236c\logs\debug.log
2024-11-23 03:37:53,741 INFO    MainThread:28188 [wandb_init.py:_log_setup():534] Logging internal logs to D:\Backup\Less Important\My programs\Git\ML\Models\CNN\dogs_vs_cats\wandb\run-20241123_033753-u3lo236c\logs\debug-internal.log
2024-11-23 03:37:53,741 INFO    MainThread:28188 [wandb_init.py:init():619] calling init triggers
2024-11-23 03:37:53,741 INFO    MainThread:28188 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.001, 'architecture': 'CNN', 'dataset': 'Dog_vs_Cats_Kaggle', 'epochs': 200}
2024-11-23 03:37:53,741 INFO    MainThread:28188 [wandb_init.py:init():669] starting backend
2024-11-23 03:37:53,741 INFO    MainThread:28188 [wandb_init.py:init():673] sending inform_init request
2024-11-23 03:37:53,743 INFO    MainThread:28188 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-11-23 03:37:53,743 INFO    MainThread:28188 [wandb_init.py:init():686] backend started and connected
2024-11-23 03:37:53,747 INFO    MainThread:28188 [wandb_init.py:init():781] updated telemetry
2024-11-23 03:37:53,778 INFO    MainThread:28188 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-11-23 03:37:54,188 INFO    MainThread:28188 [wandb_init.py:init():867] starting run threads in backend
2024-11-23 03:37:54,639 INFO    MainThread:28188 [wandb_run.py:_console_start():2456] atexit reg
2024-11-23 03:37:54,639 INFO    MainThread:28188 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-11-23 03:37:54,639 INFO    MainThread:28188 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-11-23 03:37:54,639 INFO    MainThread:28188 [wandb_run.py:_redirect():2395] Redirects installed.
2024-11-23 03:37:54,642 INFO    MainThread:28188 [wandb_init.py:init():911] run started, returning control to user process
2024-11-23 07:00:48,669 WARNING MsgRouterThr:28188 [router.py:message_loop():75] message_loop has been closed
